HDR,ROLLING SYSTEM DEMAND
VD,20180601000000,25152
VD,20180601000500,25231
VD,20180601001000,25070
VD,20180601001500,25019
VD,20180601002000,24943
VD,20180601002500,24727
VD,20180601003000,24716
VD,20180601003500,24815
VD,20180601004000,24877
VD,20180601004500,24843
VD,20180601005000,24830
VD,20180601005500,24801
VD,20180601010000,24749
VD,20180601010500,24571
VD,20180601011000,24473
VD,20180601011500,24413
VD,20180601012000,24429
VD,20180601012500,24400
VD,20180601013000,24306
VD,20180601013500,24230
VD,20180601014000,24124
VD,20180601014500,24025
VD,20180601015000,23903
VD,20180601015500,23775
VD,20180601020000,23792
VD,20180601020500,23870
VD,20180601021000,23864
VD,20180601021500,23797
VD,20180601022000,23786
VD,20180601022500,23798
VD,20180601023000,23751
VD,20180601023500,23792
VD,20180601024000,23806
VD,20180601024500,23743
VD,20180601025000,23653
VD,20180601025500,23715
VD,20180601030000,23730
VD,20180601030500,23740
VD,20180601031000,23753
VD,20180601031500,23715
VD,20180601032000,23571
VD,20180601032500,23510
VD,20180601033000,23499
VD,20180601033500,23489
VD,20180601034000,23310
VD,20180601034500,23262
VD,20180601035000,23283
VD,20180601035500,23265
VD,20180601040000,23224
VD,20180601040500,22999
VD,20180601041000,23121
VD,20180601041500,23264
VD,20180601042000,23345
VD,20180601042500,23369
VD,20180601043000,23497
VD,20180601043500,23578
VD,20180601044000,23694
VD,20180601044500,23807
VD,20180601045000,23961
VD,20180601045500,24093
VD,20180601050000,24378
VD,20180601050500,24779
VD,20180601051000,25025
VD,20180601051500,25228
VD,20180601052000,25221
VD,20180601052500,25341
VD,20180601053000,25504
VD,20180601053500,25728
VD,20180601054000,26111
VD,20180601054500,26334
VD,20180601055000,26700
VD,20180601055500,26973
VD,20180601060000,27257
VD,20180601060500,27938
VD,20180601061000,28925
VD,20180601061500,29443
VD,20180601062000,29721
VD,20180601062500,30024
VD,20180601063000,30430
VD,20180601063500,30700
VD,20180601064000,31094
VD,20180601064500,31251
VD,20180601065000,31591
VD,20180601065500,31793
VD,20180601070000,31664
VD,20180601070500,31754
VD,20180601071000,32140
VD,20180601071500,32433
VD,20180601072000,32603
VD,20180601072500,32707
VD,20180601073000,32805
VD,20180601073500,32801
VD,20180601074000,32900
VD,20180601074500,32914
VD,20180601075000,32906
VD,20180601075500,32971
VD,20180601080000,33013
VD,20180601080500,33146
VD,20180601081000,33047
VD,20180601081500,33060
VD,20180601082000,33066
VD,20180601082500,33071
VD,20180601083000,33118
VD,20180601083500,33249
VD,20180601084000,33215
VD,20180601084500,33226
VD,20180601085000,33250
VD,20180601085500,33171
VD,20180601090000,33080
VD,20180601090500,32904
VD,20180601091000,32608
VD,20180601091500,32552
VD,20180601092000,32520
VD,20180601092500,32388
VD,20180601093000,32318
VD,20180601093500,32274
VD,20180601094000,32381
VD,20180601094500,32385
VD,20180601095000,32240
VD,20180601095500,32435
VD,20180601100000,32525
VD,20180601100500,32419
VD,20180601101000,32398
VD,20180601101500,32365
VD,20180601102000,32294
VD,20180601102500,32263
VD,20180601103000,32367
VD,20180601103500,32298
VD,20180601104000,32270
VD,20180601104500,32230
VD,20180601105000,32227
VD,20180601105500,32233
VD,20180601110000,32229
VD,20180601110500,32224
VD,20180601111000,32276
VD,20180601111500,32259
VD,20180601112000,32187
VD,20180601112500,32193
VD,20180601113000,32121
VD,20180601113500,32121
VD,20180601114000,32024
VD,20180601114500,31967
VD,20180601115000,31959
VD,20180601115500,31919
VD,20180601120000,31779
VD,20180601120500,31785
VD,20180601121000,31841
VD,20180601121500,31879
VD,20180601122000,31779
VD,20180601122500,31694
VD,20180601123000,31575
VD,20180601123500,31497
VD,20180601124000,31421
VD,20180601124500,31268
