brutal, constitute, stardom, ate, exhort, Thessaly, template, great, narcosis, incorrect, licensable, hideaway, loch, flunk, Bassett, melee, awhile, Della, derail, Bayreuth, confiscate, matinal, Durer, Simla, garb, elope, seismic, Hollingsworth, thumb, silica, sora, speedy, doghouse, emanate, meanwhile, ardent, c, inflater, blueprint, slaughter
98 : 47 | 62 | 72 | 69 | WY | 58 | alan | 80 | submit | 34 | harm | 14 | 80 | depredation | 40 | 60 | 85 | intensify | buttercup | 82 | 81 | Delphinus | 17 | 36 | 28 | 64 | 69 | 91 | perilous | 2 | 13 | sweaty | nuptial | Nashua | 69 | barre | 11 | 42 | 66
23 : 54 | 14 | 7 | 50 | 29 | 65 | girlish | 2 | devolve | 44 | 41 | 54 | gigavolt | unitary | 10 | 17 | 4 | diamagnetism | 96 | 97 | 0 | 54 | 38 | 20 | Americana | 22 | transfix | 50 | 13 | strategic | Carlisle | hard | slimy | 73 | 45 | erode | 14 | vast | 74
Madison : 58 | 39 | 79 | grave | 15 | withe | 79 | directrices | interstitial | larvae | graham | 10 | 25 | midmorn | sinkhole | 25 | 39 | panther | 70 | 30 | 61 | midscale | usable | anterior | 85 | Anderson | 89 | 90 | 74 | Katharine | 49 | eke | 15 | tug | goshawk | 89 | realty | twig | perspire
53 : 5 | 96 | 82 | jury | 59 | 62 | 15 | 56 | Winnie | gangling | 93 | 57 | 68 | anomalous | meantime | 88 | 33 | symbolic | 1 | 32 | suck | foray | whoosh | bathe | rootstock | detractor | brigand | 9 | 57 | 71 | testy | 81 | Kobayashi | 52 | 67 | shortfall | 3 | commandant | verandah
97 : mash | emittance | eigenvector | cherry | 12 | 55 | salsify | brainstorm | Verdi | eft | 68 | zoo | 95 | converge | Cetus | tricky | 99 | waterway | 57 | 44 | knoll | 72 | wordy | dextrose | 89 | 0 | 28 | 34 | 1 | 23 | 22 | 43 | Montgomery | 22 | conceal | exact | bridgework | 76 | 17
tune : 2 | 10 | 5 | 20 | protege | weber | 86 | mammoth | ingrown | Czerniak | 94 | lonesome | 2 | uncouth | 20 | 74 | 21 | 37 | 82 | 77 | 45 | 14 | 19 | rightmost | gryphon | 88 | 56 | 67 | shorthand | gainful | 23 | abate | 95 | 62 | 38 | Havilland | horntail | 69 | 83
46 : 38 | 14 | 95 | 76 | 96 | mania | 21 | 59 | 55 | 31 | Nakayama | certain | lush | 79 | Delano | retaliate | vermouth | petit | 35 | 73 | 39 | 53 | 90 | Julia | stillbirth | Eskimo | 61 | 31 | Wabash | 39 | sweetbread | lodge | 74 | 7 | Paso | retrogressive | 11 | 44 | 46
88 : inborn | Steele | dibble | 5 | stylish | 61 | 53 | 86 | Calvary | 66 | cygnet | 32 | corollary | irrefutable | inoperative | 99 | 60 | 88 | 56 | finicky | 25 | 13 | dogmatism | Rubaiyat | 80 | 80 | 74 | 43 | 68 | 93 | 38 | 65 | 14 | 59 | 32 | Sino | phytoplankton | 21 | pidgin
74 : Steen | nefarious | embarcadero | Kennecott | 78 | cyclotron | halma | 88 | thesaurus | 40 | Newfoundland | 16 | unity | 74 | arboreal | 14 | 78 | 2 | 36 | 58 | daddy | 68 | 86 | facial | Eng | amatory | 96 | 74 | wary | 83 | 62 | 52 | rhombus | 21 | 26 | 93 | 84 | 70 | jittery
23 : 12 | 18 | 68 | demigod | 4 | 47 | 58 | muck | 79 | 80 | 25 | clay | 48 | Wahl | 45 | 41 | 42 | 16 | Beatrice | 65 | echelon | plate | residential | sunflower | 17 | spur | 81 | 0 | Fenton | 82 | no | 21 | salve | gondola | chowder | 3 | sundown | choosy | 14
unidirectional : selenite | 51 | 11 | 97 | 19 | Naomi | cosponsor | polarogram | memorabilia | 31 | antennae | humane | academician | knobby | 51 | 2 | 99 | 13 | cognition | 27 | statuary | 98 | 94 | seafood | 93 | 23 | redact | 1 | 1 | 27 | 71 | 76 | clown | 32 | 87 | Gerhardt | 14 | 6 | 26
re : dossier | excisable | 59 | 87 | putty | grasp | 48 | par | 9 | 67 | 20 | 92 | Ackley | skillful | 63 | 77 | cornbread | lantern | 40 | 76 | 63 | 73 | 69 | 57 | abrade | 10 | 69 | killdeer | 90 | 98 | 97 | 51 | 48 | 20 | candle | 73 | 22 | perjure | 4
Boeing : 37 | 33 | 67 | tight | 3 | calendrical | 84 | 34 | 66 | 56 | 25 | emacs | 4 | 13 | 59 | Berlin | York | 47 | 67 | 44 | 38 | 72 | 3 | 31 | 98 | Brazzaville | 92 | 74 | toggle | 55 | 9 | 78 | alveolus | Somerset | opinion | 68 | anything | 34 | orgy
51 : 44 | 32 | 51 | 78 | likeable | 85 | 84 | Hanna | 94 | Garth | astonish | 42 | 89 | solicitude | your | Diogenes | Simon | 31 | Ephraim | team | 35 | 12 | Thetis | 26 | 76 | curfew | highfalutin | McElroy | 45 | incommensurate | 88 | Poynting | 87 | myrrh | noblemen | Eliot | Bragg | 95 | 79
squeamish : 58 | Moreland | 66 | fastidious | 27 | 56 | 40 | sandhill | anionic | 38 | 81 | 33 | epiphyte | pussycat | 51 | 28 | duel | technetium | 69 | 88 | 91 | sociable | 10 | 70 | kirk | 83 | 70 | 12 | Angeline | rail | 76 | 34 | 10 | 15 | 26 | lilt | Olaf | 4 | stationmaster
